text,label
I love this product,positive
This is amazing,positive
Very good experience,positive
Impressive work,positive
I am satisfied with the purchase,positive
The food was delicious,positive
The customer service was excellent,positive
I am happy with the results,positive
This is the best thing ever,positive
The experience was fantastic,positive
I am thrilled with the outcome,positive
I am extremely satisfied with the service,positive
The item is of high quality,positive
The movie was fantastic,positive
I am very pleased with the results,positive
I am delighted with the purchase,positive
The quality is excellent,positive
The experience was wonderful,positive
The product is amazing,positive
I am not angry,positive
I am not sad,positive
not bad,positive
not sad,positive
not terrible,positive
not angry,positive
I am happy,positive
I feel great today,positive
What a wonderful experience,positive
I am very excited,positive
This made my day,positive
I feel fantastic,positive
I am smiling today,positive
This is awesome,positive
I really like this,positive
I am satisfied,positive
I am feeling good,positive
I enjoy this,positive
I am grateful,positive
This is perfect,positive
I appreciate this,positive
I am delighted,positive
I feel wonderful,positive
Life is beautiful,positive
The service exceeded expectations,positive
Absolutely loved it,positive
Brilliant performance,positive
Highly recommended,positive
Superb quality,positive
Five stars,positive
Worth every penny,positive
Pleasantly surprised,positive
Great value for money,positive
Outstanding service,positive
Top notch experience,positive
Will buy again,positive
Loved every moment,positive
Exceeded my expectations,positive
Amazing quality product,positive
Quick and efficient service,positive
Very impressed,positive
Simply perfect,positive
I adore this,positive
Best purchase ever,positive
Very comfortable and nice,positive
Fantastic results,positive
Absolutely fantastic,positive
Thumbs up,positive
Brilliant idea,positive
Everything is perfect,positive
Very reliable,positive
I enjoyed it a lot,positive
It works perfectly,positive
Excellent support,positive
Very friendly staff,positive
Nice and smooth experience,positive
I hate this,negative
This is terrible,negative
Worst service ever,negative
Not worth the money,negative
I will never buy this again,negative
The quality is poor,negative
I am disappointed with the product,negative
I do not recommend this,negative
This is a waste of money,negative
I am not happy with the purchase,negative
I am not impressed with the product,negative
This is a terrible product,negative
I am not satisfied with the service,negative
The customer service was terrible,negative
I am not happy with the results,negative
I do not like this,negative
I am not impressed with the service,negative
I am angry,negative
The movie was terrible,negative
The food was terrible,negative
I am very sad,negative
not good,negative
not happy,negative
I am sad,negative
I feel awful,negative
This is horrible,negative
I am very upset,negative
I dislike this,negative
This ruined my day,negative
I feel miserable,negative
I am disappointed,negative
This is frustrating,negative
I feel bad,negative
I regret this,negative
This is the worst,negative
I am tired of this,negative
I feel unhappy,negative
I am annoyed,negative
This is disgusting,negative
I am depressed,negative
Poor performance,negative
Very disappointing,negative
Completely useless,negative
Bad experience overall,negative
Terrible quality,negative
Not recommended at all,negative
Waste of time,negative
Extremely bad service,negative
Worst product ever,negative
Very frustrating experience,negative
Not worth buying,negative
Awful design,negative
Very poor results,negative
Disappointed deeply,negative
Unacceptable service,negative
Horrible experience,negative
Cheap quality,negative
Very slow service,negative
Totally dissatisfied,negative
Never again,negative
Bad customer support,negative
Extremely unhappy,negative
Pathetic service,negative
Very bad experience,negative
Ruined everything,negative
I feel cheated,negative
Very unreliable,negative
The product broke quickly,negative
It failed expectations,negative
Very low quality,negative
I am not satisfied,negative
It is okay,neutral
The movie was average,neutral
Nothing special,neutral
The product is just fine,neutral
I am not sure about this,neutral
The service was okay,neutral
The experience was mediocre,neutral
The food was average,neutral
The quality is average,neutral
Im okay,neutral
I am not sure,neutral
I am neutral,neutral
Average performance,neutral
It works as expected,neutral
Nothing impressive,neutral
Just okay,neutral
Neither good nor bad,neutral
It is acceptable,neutral
Fine overall,neutral
Moderate quality,neutral
Decent experience,neutral
Not too bad,neutral
Not too good,neutral
Fair enough,neutral
Could be better,neutral
Standard quality,neutral
Typical experience,neutral
Average service,neutral
Meets expectations,neutral
Neutral feeling,neutral
Nothing to complain about,neutral
Basic functionality,neutral
Works fine,neutral
Simple and okay,neutral
Regular experience,neutral
Not remarkable,neutral
Balanced experience,neutral
Satisfactory,neutral
Mediocre service,neutral
Ordinary product,neutral
Okayish experience,neutral
Not impressive,neutral
Nothing extraordinary,neutral
Fine but not great,neutral
Average outcome,neutral
Just average,neutral
Neither impressive nor bad,neutral
Typical service,neutral
Standard experience,neutral
Moderately good,neutral
Acceptable quality,neutral
It is decent,neutral
Neutral opinion,neutral
im happy,positive
im very happy,positive
im not happy,negative
im sad,negative
im not sad,positive
im happy,positive
i am happy,positive
i feel happy,positive
im very happy,positive
i am very happy,positive
im sad,negative
i am sad,negative
im not happy,negative
i am not happy,negative
im not sad,positive
i am not sad,positive
not bad,positive
not good,negative
not angry,positive
not terrible,positive
i am not feeling good,negative
i am not feeling bad,positiveNative is a good boy,positive
Native is a good boy,positive
idk if I should visit him... although I like him a lot.,neutral
I am not happy and happy at the same time but also not happy at the same time,negative
